iter	Passed	Remaining
785	1323	360
786	1324	358
787	1325	356
788	1328	355
789	1329	353
790	1330	351
791	1332	349
792	1333	348
793	1334	346
794	1335	344
795	1337	342
796	1338	340
797	1339	339
798	1341	337
799	1343	335
800	1344	333
801	1345	332
802	1346	330
803	1347	328
804	1348	326
805	1349	324
806	1351	323
807	1352	321
808	1353	319
809	1354	317
810	1356	316
811	1358	314
812	1359	312
813	1360	310
814	1361	309
815	1362	307
816	1363	305
817	1364	303
818	1366	301
819	1367	300
820	1368	298
821	1369	296
822	1371	295
823	1373	293
824	1374	291
825	1375	289
826	1376	287
827	1377	286
828	1378	284
829	1380	282
830	1381	280
831	1382	279
832	1383	277
833	1385	275
834	1387	274
835	1388	272
836	1389	270
837	1390	268
838	1392	267
839	1393	265
840	1394	263
841	1395	261
842	1396	260
843	1397	258
844	1398	256
845	1400	255
846	1402	253
847	1403	251
848	1406	250
849	1407	248
850	1408	246
851	1409	244
852	1411	243
853	1412	241
854	1413	239
855	1415	238
856	1416	236
857	1418	234
858	1419	232
859	1420	231
860	1422	229
861	1423	227
862	1424	226
863	1426	224
864	1427	222
865	1428	221
866	1430	219
867	1431	217
868	1432	216
869	1434	214
870	1435	212
871	1436	210
872	1437	209
873	1438	207
874	1439	205
875	1440	203
876	1442	202
877	1443	200
878	1445	199
879	1447	197
880	1448	195
881	1449	193
882	1450	192
883	1451	190
884	1452	188
885	1453	187
886	1455	185
887	1456	183
888	1457	181
889	1458	180
890	1460	178
891	1462	177
892	1463	175
893	1464	173
894	1465	171
895	1466	170
896	1467	168
897	1468	166
898	1470	165
899	1471	163
900	1472	161
901	1474	160
902	1476	158
903	1477	156
904	1478	155
905	1479	153
906	1480	151
907	1481	150
908	1483	148
909	1484	146
910	1485	145
911	1486	143
912	1488	141
913	1490	140
914	1491	138
915	1492	136
916	1493	135
917	1494	133
918	1495	131
919	1498	130
920	1499	128
921	1501	127
922	1504	125
923	1506	123
924	1509	122
925	1511	120
926	1512	119
927	1513	117
928	1514	115
929	1516	114
930	1517	112
931	1519	110
932	1521	109
933	1522	107
934	1523	105
935	1524	104
936	1525	102
937	1527	100
938	1528	99
939	1529	97
940	1530	95
941	1532	94
942	1533	92
943	1535	91
944	1536	89
945	1537	87
946	1538	86
947	1540	84
948	1541	82
949	1543	81
950	1544	79
951	1545	77
952	1546	76
953	1548	74
954	1549	73
955	1551	71
956	1553	69
957	1555	68
958	1556	66
959	1557	64
960	1558	63
961	1559	61
962	1561	59
963	1562	58
964	1564	56
965	1565	55
966	1566	53
967	1568	51
968	1569	50
969	1570	48
970	1572	46
971	1573	45
972	1574	43
973	1575	42
974	1576	40
975	1578	38
976	1579	37
977	1580	35
978	1582	33
979	1583	32
980	1585	30
981	1586	29
982	1587	27
983	1588	25
984	1589	24
985	1590	22
986	1593	20
987	1594	19
988	1596	17
989	1597	16
990	1598	14
991	1599	12
992	1600	11
993	1601	9
994	1602	8
995	1604	6
996	1605	4
997	1606	3
998	1608	1
999	1609	0
